question_id,source_file_name,subject,quiz_name,question_number,difficulty,domain,Primary_Classification,Sub_Classification,Concept_Classification,question_type,question_text,image_url,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation_original,explanation_ai_enhanced,feedback_a,feedback_b,feedback_c,feedback_d
DT-T0-MT-M2-11,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,11,Medium,Advanced Math,Functions,Notation_And_Properties,AdvMath_Function_Domain_Range,multiple_choice,The following equations could all have the constant $k$ equal zero and have a defined solution EXCEPT,,$kx = 0$,$3 = k – x$,$4k + x = 7$,$\frac{2}{k} = x$,,$\frac{2}{k} = x$,(D) $\frac{2}{k} = x$ is undefined if $k = 0$. Dividing by 0 results in an undefined solution. All of the other equations have a solution for x when $k = 0$.,"We must test each equation by setting $k=0$. A) $0x=0$, which is true for any value of $x$. B) $3=0-x$, which gives $x=-3$. C) $4(0)+x=7$, which gives $x=7$. D) $\frac{2}{0}=x$. Division by zero is undefined, so this equation does not have a defined solution when $k=0$.",This equation has a solution when $k=0$.,This equation has a solution when $k=0$.,This equation has a solution when $k=0$.,"This is the correct answer. Division by zero is undefined, so this equation has no defined solution when $k=0$."
DT-T0-MT-M2-12,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,12,Easy,Algebra,Inequalities,Solving_And_Graphing,Algebra_Solve_Linear_Inequality,multiple_choice,"A new spaceship tourism company wishes to design a spacecraft that will allow its passengers to reenter Earth's atmosphere comfortably without losing consciousness. The physicians with whom the company consulted advised the company employees that healthy humans can survive up to 9g of force and lose consciousness at 5g of force. Which expression gives the range of g-force values, $g$, that the company’s engineers should ensure the spacecraft can provide during reentry?",,$g < 5$,$g > 5$,$5 < g < 9$,$g > 9$,,$g < 5$,"(A) Since the company does not want the passengers to lose consciousness, the passengers must not experience g forces equal to or greater than 5. The only possible range of g-values is $g < 5$, in which all the g-values are less than 5.","The critical information is that passengers 'lose consciousness at 5g of force.' To ensure this does not happen, the g-force must be kept strictly below this threshold. The fact that they can survive up to 9g is extra information; the primary goal is to avoid losing consciousness. Therefore, the g-force, $g$, must be less than 5.","This is the correct answer. To avoid losing consciousness, the g-force must remain below 5g.",This describes the range where passengers would lose consciousness.,This describes the range where passengers would be conscious but above the 5g threshold.,This describes a g-force range beyond what a human can survive.
DT-T0-MT-M2-13,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,13,Medium,Problem-Solving & Data Analysis,Statistics,Calculations,Data_Calculate_Mean,multiple_choice,Look at how many of the particular item Stores A and B sold at the presale price. What is the arithmetic mean of this set of values to the nearest tenth?,DT-T0-MT-M2-13_image.png,305,305,310,12.8,,305,"(A) The question asks for the arithmetic mean of the QUANTITIES sold at presale by Stores A and B. From the table, Store A sold 350 items and Store B sold 260 items. The arithmetic mean is the sum of the values divided by the count of the values: $(350 + 260) / 2 = 610 / 2 = 305$.","The question asks for the arithmetic mean of the quantities sold by Stores A and B at the presale price. From the 'Quantity Sold Before Sale' column, Store A sold 350 items and Store B sold 260 items. The mean is the average of these two values: $\frac{350 + 260}{2} = \frac{610}{2} = 305$.",This is the correct answer. It is the simple average of the two quantities sold.,"This is the same value as 305, but the question does not require a decimal point.",This is an incorrect calculation of the mean.,"This value, 12.8, is the weighted average of the PRICE, not the arithmetic mean of the QUANTITY. This is a common trap based on misreading the question."
DT-T0-MT-M2-14,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,14,Easy,Advanced Math,Functions,Notation_And_Properties,AdvMath_Function_Notation_Evaluation,multiple_choice,Which of the following equations properly expresses the functional relationship given by this expression? “Take an input variable and divide it by 4; then subtract 5 from the result.”,,$f(x)=\frac{x-5}{4}$,$f(x)=\frac{x}{4} - 5$,$f(x)=5 - \frac{x}{4}$,$f(x)=\frac{5-x}{4}$,,$f(x)=\frac{x}{4} - 5$,"(B) When you are told, “Take an input variable,” that refers to x. Then divide the x by 4 and subtract 5 from this, which gives the function $f(x) = \frac{x}{4} − 5$.","Let the input variable be $x$. The first step is to 'divide it by 4', which gives $\frac{x}{4}$. The second step is to 'then subtract 5 from the result', which gives $\frac{x}{4} - 5$. Therefore, the function is $f(x) = \frac{x}{4} - 5$.","This equation represents subtracting 5 first, then dividing by 4, which reverses the order of operations.",This is the correct answer. It correctly follows the sequence of operations described.,"This equation subtracts the result from 5, which is not what the expression states.","This equation represents subtracting x from 5 first, then dividing by 4."
DT-T0-MT-M2-15,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,15,Medium,Problem-Solving & Data Analysis,Statistics,Interpretation,Data_Interpret_Range,multiple_choice,"If an amusement park worker measures three riders as being 48 inches, 56 inches, and 40 inches tall and the margin of error of each of the worker's measurements is $\pm 2$ inches, what is the possible range of the sum of the riders' actual heights in inches?",,$48 \le \text{total height} \le 144$,$42 \le \text{total height} \le 150$,$138 \le \text{total height} \le 150$,$158 \le \text{total height} \le 180$,,$138 \le \text{total height} \le 150$,"(C) Since there are three separate measurements that are each off by up to 2 units, you can determine the range of possible values by adding all the individual measurements together and then including a range of plus or minus 6: $48 + 56 + 40 = 144$; $144 + 6 = 150$; $144 – 6 = 138$. Choice (C) shows the correct range.","First, calculate the sum of the measured heights: $48 + 56 + 40 = 144$ inches. The margin of error is $\pm 2$ inches for *each* of the three measurements. To find the total margin of error for the sum, you add the individual margins: $2 + 2 + 2 = 6$ inches. So the total margin of error is $\pm 6$ inches. The minimum possible sum is $144 - 6 = 138$ inches. The maximum possible sum is $144 + 6 = 150$ inches. The range is $138 \le \text{total height} \le 150$.",This range is too wide and does not correctly calculate the total margin of error.,"This lower bound is too low. It seems to subtract the margin of error from each measurement individually, which is not how sums of ranges work.",This is the correct answer. It correctly calculates the sum of the heights and the total margin of error for the sum.,This range is too high and may result from a calculation error.
DT-T0-MT-M2-16,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,16,Medium,Algebra,Linear_Equations,Solving_And_Interpreting,Algebra_Create_Linear_Model,multiple_choice,"In the equation below, F stands for gravitational force, $m_1$ and $m_2$ stand for the masses of two different objects, G is a constant, and d stands for the distance between the two objects. (Note that mass and distance must have positive values.) $F = \frac{G \times m_1 \times m_2}{d^2}$. What would most minimize the gravitational force between objects 1 and 2?",,Minimize d,Maximize $m_1$ and $m_2$,Minimize $m_1 \times m_2$ and maximize d,"Maximize d, $m_1$, and $m_2$",,Minimize $m_1 \times m_2$ and maximize d,"(C) To minimize the overall gravitational force, the value of the numerator should be as small as possible, and the value of the denominator should be as large as possible. Out of the possible answers, choice (C) would best accomplish this. It would make the value of $m_1 \times m_2$ as small as possible and make the denominator $d^2$ as large as possible.","To minimize the value of the fraction $F = \frac{G m_1 m_2}{d^2}$, we need to make the numerator as small as possible and the denominator as large as possible. The numerator is $G m_1 m_2$. Since G is a constant, we need to minimize the product of the masses, $m_1 \times m_2$. The denominator is $d^2$. To make this as large as possible, we need to maximize the distance, $d$.","This is incorrect. Minimizing $d$ would maximize the force, as $d$ is in the denominator.","This is incorrect. Maximizing the masses would maximize the force, as they are in the numerator.",This is the correct answer. It correctly identifies that minimizing the numerator (masses) and maximizing the denominator (distance) will minimize the overall force.,This is incorrect. Maximizing the masses would increase the force.
DT-T0-MT-M2-17,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,17,Easy,Geometry & Trigonometry,Volume_And_Surface_Area,Calculations,Geo_Volume_Prism,student_produced_response,A cube has edges with a length of 2 inches. What is the surface area of the cube in square inches?,,,,,,,24,"24. There are six faces to a cube, each of which will have the same edge length of 2 inches. Find the area of one of these faces by multiplying the length of the face by the width: $2 \times 2 = 4$. Then, multiply 4 by 6 to get the total area of all the cube’s faces: $4 \times 6 = 24$.","A cube has 6 identical square faces. The length of an edge is 2 inches. The area of one square face is side $\times$ side, which is $2 \times 2 = 4$ square inches. Since there are 6 faces, the total surface area is $6 \times 4 = 24$ square inches.",,,,
DT-T0-MT-M2-18,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,18,Easy,Algebra,Inequalities,Solving_And_Graphing,Algebra_Solve_Linear_Inequality,multiple_choice,"The final velocity of a given object is expressed by the following formula: Final velocity = Initial velocity + Acceleration $\times$ Time. If a ball has an initial velocity of $4 \text{ m/s}$ and a constant acceleration of $6 \text{ m/s}^2$, which inequality shows the range of times, $T$, that will cause the final velocity to have a value of at least $22 \text{ m/s}$?",,$T \ge 3$ seconds,$T \ge 8$ seconds,$3 \text{ seconds} \le T \le 5 \text{ seconds}$,$6 \text{ seconds} \le T \le 22 \text{ seconds}$,,$T \ge 3$ seconds,(A) Plug the given values into the equation... The final velocity must be at least 22 m/s. Set up the inequality so that the result for the final velocity could exceed 22 m/s: $22 \le 4 + 6T \rightarrow 18 \le 6T \rightarrow 3 \le T$,"Let $V_f$ be the final velocity. The problem states we want the final velocity to be 'at least 22 m/s', which means $V_f \ge 22$. Substitute the given values and formula: $4 + 6T \ge 22$. To solve for $T$, first subtract 4 from both sides: $6T \ge 18$. Then, divide both sides by 6: $T \ge 3$.",This is the correct answer. It correctly represents the solution to the inequality $4 + 6T \ge 22$.,This answer may result from a calculation error.,This is incorrect. This implies an upper bound on the time which is not mentioned in the problem.,This is incorrect. This implies an upper bound on the time and has an incorrect lower bound.
DT-T0-MT-M2-19,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,19,Hard,Problem-Solving & Data Analysis,Rates_Ratios_Proportions,Calculations,Data_Rates_Ratios_Proportions,multiple_choice,"A particular black hole has a density of $1.0 \times 10^6 \text{ kg/m}^3$. A physicist is conducting a thought experiment in which she would like to approximate how much she would weigh if she had the density of a black hole rather than her current weight of 150 pounds, assuming her volume remained the same. Given that her overall body density is approximately $990 \text{ kg/m}^3$ and that there are approximately 2.2 pounds in a kilogram, approximately how many pounds would she weigh in her thought experiment?",,"2,178","151,500","990,000,000","2,178,000,000",,"151,500","(B) Divide $1.0 \times 10^6 \text{ kg/m}^3$ by $990 \text{ kg/m}^3$ to determine by what multiple her weight will increase. Her weight will be 1,010 times greater. Then multiply 1,010 by 150 pounds to get 151,500 pounds.","Since weight is proportional to density when volume is constant, we can find the factor by which her weight would increase by dividing the new density by the old density. Factor of increase = $\frac{\text{Density}_{\text{black hole}}}{\text{Density}_{\text{physicist}}} = \frac{1.0 \times 10^6}{990} \approx 1010.1$. Her new weight would be her old weight multiplied by this factor: $150 \text{ pounds} \times 1010.1 \approx 151,515$ pounds. The closest answer is 151,500.",This answer may come from incorrectly using the pound-to-kilogram conversion factor.,This is the correct answer. It correctly calculates the density ratio and applies it to the current weight.,This answer may come from multiplying densities or other calculation errors.,This answer is orders of magnitude too large and results from calculation errors.
DT-T0-MT-M2-20,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,20,Hard,Algebra,Linear_Equations,Systems,Algebra_Interpret_System_Solutions,student_produced_response,Consider the following system of equations with variables A and B and constant integers X and Y: $A + 2B = 4$; $XA + YB = 4X$. By what number must the sum of $X$ and $Y$ be divisible in order for the two equations to have infinitely many solutions?,,,,,,,3,"3 There will be infinitely many solutions if the two equations are multiples of the same equation. The coefficients of the A and B terms in $A + 2B = 4$ add up to 3 because they are 1 and 2. Since $XA + YB = 4X$ is divisible by 4 on the right-hand side, as is the other equation, the sum of $X$ and $Y$ must also be divisible by 3 in order for the two equations to be multiples of one another. To replicate the structure of the first equation, $Y$ must equal $2X$ so that the two equations will be multiples of one another.","For a system of linear equations to have infinitely many solutions, one equation must be a multiple of the other. Let the second equation be $X$ times the first equation. Then we would have $X(A + 2B) = X(4)$, which gives $XA + 2XB = 4X$. Comparing this to the given second equation, $XA + YB = 4X$, we can see that the $XA$ and $4X$ terms match. For the equations to be identical, the B terms must also match: $YB = 2XB$. This means $Y = 2X$. The question asks about the sum $X+Y$. Substituting $Y=2X$, the sum is $X + 2X = 3X$. Since $X$ is an integer, the sum $3X$ must always be divisible by 3.",,,,
DT-T0-MT-M2-21,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,21,Hard,Problem-Solving & Data Analysis,Rates_Ratios_Proportions,Calculations,Data_Rates_Ratios_Proportions,multiple_choice,"Pam is going to watch a movie on her television at home. She is going to watch the movie as it was shown in movie theaters, in its original aspect ratio of 1.85:1 (length:height). Her television has an aspect ratio of 4:3 and a length of 48 inches. If the movie takes up the entire length of her television screen, how many inches of screen height, to the nearest whole inch, will NOT be used on her TV screen to show the movie?",,10,16,22,44,,10,"(A) The height of Pam’s television is 36 inches, because 48:36 reduces to her screen ratio of 4:3. You can determine how many inches of height the movie image will take up on Pam’s TV by setting up a ratio: $\frac{1}{1.85} = \frac{x}{48} \rightarrow x \approx 26$. Now subtract the height of the movie from the height of the TV screen to determine how many inches of screen height will NOT be used: $36 – 26 = 10$.","1. Find the TV's height. The ratio is length:height = 4:3. $\frac{4}{3} = \frac{48}{h_{TV}} \rightarrow 4h_{TV} = 144 \rightarrow h_{TV} = 36$ inches. 2. Find the movie's height on the screen. The movie uses the full length (48 inches). The ratio is 1.85:1. $\frac{1.85}{1} = \frac{48}{h_{movie}} \rightarrow h_{movie} = \frac{48}{1.85} \approx 25.95$ inches. 3. Find the difference. The unused height is the TV height minus the movie height: $36 - 25.95 = 10.05$ inches. To the nearest whole inch, this is 10.",This is the correct answer. It represents the difference between the TV's height (36) and the movie's height when stretched to the full width (approx. 26).,This value is too high and may result from a calculation error.,"This would be approximately the height of the movie image, not the unused portion of the screen.","This is close to the TV's length, not the unused height."
DT-T0-MT-M2-22,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,22,Medium,Advanced Math,Polynomials,Operations_And_Roots,AdvMath_Polynomial_Factorization,multiple_choice,"If $–16 – 6x + x^2 = x^2 – abx – 8b$, where a and b are constants, what is the value of a?",,-6,-2,3,5,,3,"(C) The different terms on the two sides of the equation equal each other. So $–16 = –8b$, $–6x = –abx$, and $x^2 = x^2$. Why? This occurs because the constants must equal each other, the terms with an x must equal each other, and the terms with an $x^2$ must equal one another. Since $–16 = –8b$, $b = 2$. Plug in 2 for b in the second equation and cancel out the –x to solve for a: $–6x = –abx \rightarrow 6 = a \cdot 2 \rightarrow a = 3$","For this equation to be true for all values of $x$, the coefficients of like terms on both sides must be equal. The $x^2$ terms are already equal. Match the constant terms: $-16 = -8b$. Divide by -8 to get $b=2$. Now match the coefficients of the $x$ terms: $-6x = -abx$. This simplifies to $-6 = -ab$, or $6 = ab$. Substitute the value we found for $b$: $6 = a(2)$. Divide by 2 to find $a$: $a=3$.","This would be the value if $b= -1$, which is incorrect.",This answer may come from a sign error when solving for $b$ or $a$.,"This is the correct answer. It is found by equating the coefficients of the constant terms to find $b$, then equating the coefficients of the $x$ terms to find $a$.",This is an incorrect value for $a$.
